procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 14  31812 157336  34336 22958368    0    0 25216 24570 7923 9768 11  3 41 45  0
 0 14  31812 163060  34412 22954000    0    0 15470 46782 5169 7274  6  2 52 40  0
 0 18  31812 164424  34460 22949400    0    0 10632 49550 4166 5644  6  1 46 47  0
 1 12  31812 161908  34560 22951560    0    0 15160 36842 6431 8620  8  2 38 51  0
 0 11  31812 163688  34648 22947188    0    0 17108 34486 4818 6099  7  2 37 54  0
 1 15  31812 157248  34740 22951828    0    0 11628 43942 6401 8246  7  2 40 51  0
 0 11  31812 163928  34836 22943504    0    0 22458 37724 7653 10177  9  2 53 36  0
 0 13  31812 164884  34940 22942304    0    0 18928 36882 7634 9358  9  2 40 49  0
 0 15  31812 163504  35048 22941876    0    0 17756 34218 6872 9671  8  2 44 46  0
 1 15  31812 162052  35152 22941888    0    0 13268 45382 7930 10774  8  2 58 31  0
12 14  31812 159608  35284 22942752    0    0 19768 34172 10657 15751 10  3 49 38  0
 1 14  31812 157640  35400 22941444    0    0 16530 40436 9042 12997 10  2 36 52  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 16  31812 158884  35512 22933332    0    0 12426 44048 9623 13781  8  3 44 45  0
 0 16  31812 157000  35632 22935516    0    0 14352 39686 9097 14059  7  3 46 44  0
 0 11  31812 162288  35756 22923548    0    0 11302 49548 8631 13321  7  3 44 45  0
 0 17  31812 160752  35868 22924132    0    0 13496 41264 8369 11993  7  3 38 53  0
 2 19  31812 160004  35984 22917852    0    0 12424 44824 10276 14559  9  3 33 55  0
 1 15  31812 159828  36104 22913552    0    0 22198 35438 6828 9707  9  2 38 50  0
 4 16  31812 161448  36212 22911712    0    0 15188 33066 7937 11256  9  3 42 46  0
 1 16  31812 160928  36308 22907568    0    0 24524 36848 8064 10507 12  2 50 36  0
 4 15  31812 158036  36412 22902284    0    0 21004 21496 7730 9667 10  2 47 41  0
 0 16  31812 163176  36480 22895596    0    0 17192 41218 6432 8300  9  2 45 44  0
 1 16  31812 160300  36628 22896272    0    0 28986 21622 8811 13092 12  2 47 39  0
11 14  31812 163612  36748 22890336    0    0 23576 35458 9309 12465 11  3 45 41  0
 0 17  31812 162660  36832 22889832    0    0 16288 37184 6975 9389  8  2 42 48  0
 1 15  31812 161616  36936 22877700    0    0 15314 31568 8023 11080 10  2 41 47  0
 2 13  31812 164396  37084 22875524    0    0 16780 24012 10465 15350  8  3 69 19  0
 0 20  31812 165156  37244 22915580    0    0 22426 42372 10712 15080 11  9 56 24  0
 1 24  31812 162356  37312 22916484    0    0 13230 36386 3833 5980  5  1 38 56  0
 1 15  31812 163300  37456 22916584    0    0 18874 30626 10175 15080 10  3 40 47  0
 1 16  31812 158360  37572 22922912    0    0 17780 34242 7939 10200  9  2 47 42  0
 2 16  31812 157020  37684 22923588    0    0 21274 39260 6970 9143 10  2 31 57  0
 0 22  31812 165316  37772 22914832    0    0 18580 36682 5595 7493  9  2 30 59  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 16  31812 156968  37880 22922044    0    0 18428 28598 6964 10132  9  2 43 46  0
 3 15  31812 162268  37992 22916500    0    0 28826 19754 7680 10222 12  3 43 42  0
 0 13  31812 157760  38096 22921320    0    0 25010 41658 6763 9357  9  2 40 49  0
 0  8  31812 160092  38144 22922788    0    0  2928 59760 5114 7356  1  1 54 44  0
 0 19  31812 164448  38224 22917712    0    0  7700 66340 6115 7842  8  2 40 50  0
 0 16  31812 156952  38312 22925604    0    0 16520 30626 6379 9078  8  2 35 55  0
 2 16  31812 160252  38420 22911336    0    0 13734 35838 7347 10897  9  3 42 46  0
 1 15  31812 161588  38548 22908508    0    0 21526 25236 8220 11956 10  3 41 47  0
 5 16  31812 156912  38656 22912572    0    0 21494 31960 8934 12377 11  3 48 38  0
 0 19  31812 157216  38764 22913668    0    0 18588 38172 6056 8802  8  2 35 54  0
 0 19  31812 164000  38832 22907548    0    0 18914 32782 6048 8209  9  2 50 39  0
 0 21  31812 157592  38964 22911600    0    0 21556 26298 7682 11677 12  3 37 48  0
 2 15  31812 156832  39072 22905584    0    0 17826 36332 6625 10226  9  3 39 50  0
 1 15  31812 161936  39176 22900296    0    0 17650 39048 6362 9321  9  2 37 51  0
 3 15  31812 164872  39244 22898752    0    0 16202 34662 5885 8311  8  2 41 49  0
 0 16  31812 159872  39376 22902076    0    0 26848 26918 7453 9761 12  2 35 51  0
 0 17  31812 161856  39460 22901480    0    0 19216 25664 4918 6268  9  2 39 50  0
 1 15  31812 159808  39612 22904632    0    0 22554 30750 8797 12132 10  3 51 35  0
 1 17  31812 161188  39704 22897332    0    0 17232 32096 6248 9400  7  2 43 48  0
 0 19  31812 159548  39824 22899928    0    0 10748 43546 7849 10812  9  3 41 47  0
 0 14  31812 161464  39948 22898152    0    0 19676 39554 6576 10166  7  2 42 50  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 14  31812 163040  40036 22897580    0    0 12170 38832 7560 10894  7  2 42 48  0
 0 16  31812 161596  40144 22896648    0    0 11274 53358 9429 13246  9  3 46 42  0
 1 19  31812 165308  40276 22890224    0    0 23884 28524 5567 8135 11  2 42 45  0
 1 17  31812 157112  40372 22899836    0    0 15974 31652 5970 7935  8  2 50 40  0
 0 17  31812 158784  40464 22897752    0    0 19986 34090 4648 6782  8  2 41 49  0
 1 15  31812 160240  40560 22895752    0    0 19504 31336 6484 8976 11  2 43 44  0
 0 23  31812 160652  40708 22895460    0    0 22594 33412 6636 9787 11  2 45 42  0
 2 16  31812 165260  40832 22890180    0    0 16744 32202 7430 9640  9  3 44 44  0
 0 19  31812 161488  40956 22896812    0    0 25760 24102 5953 8105 11  2 45 42  0
 0 16  31812 156768  41020 22899636    0    0 17270 38716 3967 5762  8  2 40 50  0
 1 21  31812 162460  41140 22883184    0    0 20142 31070 6831 8825 11  2 39 48  0
